Date,Open,High,Low,Close,Volume,Adj Close
11/12/2014,6500,6521.700195,6441.299805,6461.700195,757393100,6461.700195
10/12/2014,6529.5,6565.799805,6500,6500,692354700,6500
09/12/2014,6672.200195,6672.200195,6529.5,6529.5,951132300,6529.5
08/12/2014,6742.799805,6742.799805,6672.200195,6672.200195,513903800,6672.200195
05/12/2014,6679.399902,6751.299805,6679.399902,6742.799805,678464700,6742.799805
04/12/2014,6716.600098,6734,6672.700195,6679.399902,699897800,6679.399902
03/12/2014,6742.100098,6753.200195,6713.799805,6716.600098,707002000,6716.600098
02/12/2014,6656.399902,6744.299805,6656.399902,6742.100098,654954300,6742.100098
01/12/2014,6722.600098,6722.600098,6637.399902,6656.399902,728046400,6656.399902
28/11/2014,6723.399902,6734.700195,6667.100098,6722.600098,839390500,6722.600098
27/11/2014,6729.200195,6749.899902,6713.799805,6723.399902,517208400,6723.399902
26/11/2014,6731.100098,6765,6718.5,6729.200195,586890500,6729.200195
25/11/2014,6729.799805,6750.899902,6709.299805,6731.100098,907288200,6731.100098
24/11/2014,6750.799805,6764,6720.100098,6729.799805,680406300,6729.799805
